id,region,display_name,program_count,programs_normalized,merged_row_count,source_lines
d611c53d5acdc903,Centre,COMPLEXE DE FORMATION DES SCIENCES DE SANTE MARC VIVIEN FOE DE YAOUNDE - BITENG,2,Infirmiers | Sages-femmes/Maïeuticiens,2,211 | 526
6b756783a55f1a5f,Centre,ECOLE DE FORMATION DES PERSONNELS DE LA SANTE (EFOPS) DE BATCHENGA,1,Infirmiers,1,212
e5245e8e17ca0ae3,Centre,ECOLE DES INFIRMIERS DES TECHNICIENS MEDICO-SANITAIRES ET DU GENIE-SANITAIRE DE YAOUNDE,1,Infirmiers,1,213
25287e62964d2b51,Centre,ECOLE DES INFIRMIERS DIPLOMES D'ETAT D'AYOS,1,Infirmiers,1,214
52457988f12fd80b,Centre,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE SA'A,1,Infirmiers,1,215
5979e62938ab53ca,Centre,"ECOLE DES INFIRMIERS SPECIALISES EN SANTE MENTALE, OPHTALMOLOGIE, SAGES-FEMMES/MAIEUTICIENS, ANESTHESIE ET REANIMATION DE YAOUNDE",2,Optique Réfraction | Sages-femmes/Maïeuticiens,2,479 | 513
7c65a47c04589652,Centre,ECOLE DES SCIENCES DE LA SANTE (ECOLE PRIVEE CATHOLIQUE) DE YAOUNDE,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,22 | 216 | 516
a20872c7493d2055,Centre,ECOLE DES SCIENCES DE LA SANTE DE NDIKINIMEKI,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,24 | 218 | 518
baed7838ae0e2e26,Centre,ECOLE DES SCIENCES DE LA SANTE ET D'APPLICATION � LUMIERE� DE MBALMAYO,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,25 | 219 | 522
1c2acc51dbbf14db,Centre,ECOLE DES SCIENCES DE LA SANTE � LE PHENIX � DE SOA,3,Analyses Médicales | Infirmiers | Odontostomatologie,3,23 | 217 | 446
9c9bfd19f7631bda,Centre,ECOLE DES SCIENCES DE LA SANTE � LE PHOENIX � DE SOA,1,Sages-femmes/Maïeuticiens,1,528
1fe74cfda27f0858,Centre,ECOLE DES SCIENCES MEDICALES ET D'APPLICATION MARIE ZAMBO DE MFOU,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,26 | 220 | 523
bb495cb7e7fd6795,Centre,ECOLE DES TECHNICIENS MEDICO-SANITAIRES DE YAOUNDE,1,Analyses Médicales,1,27
8a0d5b3767832653,Centre,"ECOLE PRIVEE ""FONDATION TOUT EST GRACE"" DE MFOU",1,Infirmiers,1,221
e70f013cb995805e,Centre,"ECOLE PRIVEE ""FONDATION VIRGINIA HENDERSON"" DE YAOUNDE",2,Analyses Médicales | Infirmiers,2,28 | 222
1b610e233a7fa87b,Centre,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE LA SANTE HOSANNA DE MAKAK,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,29 | 223 | 529
b119ae81382174bc,Centre,"ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE ""MBIDA VALERIEN"" D'OBALA",3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,30 | 224 | 519
a177fbdcdcb40372,Centre,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FIDELIE AMOGO,2,Analyses Médicales | Infirmiers,2,31 | 225
e174eea682b1f7b5,Centre,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FIDELIE AMOGO D'EVODOULA,1,Sages-femmes/Maïeuticiens,1,531
6c73d717e118b135,Centre,ECOLE PRIVEE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES LIFE INSTITUT DE MBANKOMO,2,Analyses Médicales | Infirmiers,2,32 | 226
b7dd9dfeaa55dced,Centre,ECOLE PRIVEE DE FORMATION DES TECHNICIENS DENTAIRES DE YAOUNDE,2,Odontostomatologie | Prothèse Dentaire,2,447 | 493
f1b1441ddd84ae0c,Centre,"ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE ""LA ROSIERE"" DE YAOUNDE",2,Analyses Médicales | Infirmiers,2,35 | 227
211a8a3bd6b719c5,Centre,ECOLE PRIVEE DE PROTHESISTES ET AUXILIAIRES DENTAIRES GERVAIS ZANG DE YAOUNDE,1,Prothèse Dentaire,1,495
7c41a094d46618d6,Centre,"ECOLE PRIVEE DES PERSONNELS DE SANTE ""INSTITUT TEGZAGON"" DE NYOM II",2,Infirmiers | Odontostomatologie,2,228 | 448
50582d9571e334ab,Centre,ECOLE PRIVEE MILLENIUM DE YAOUNDE,1,Odontostomatologie,1,449
3e0b431b51016601,Centre,ECOLE PRIVEE PARAMEDICALE DE BALAMBA,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,36 | 229 | 534
c87607112057ffca,Centre,INSTITUT DE FORMATION DES PERSONNELS DE LA SANTE NAKOMA ACADEMY DE MBALMAYO,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,37 | 230 | 524
914d049eb887a2cd,Centre,INSTITUT DE FORMATION DES PERSONNELS SPECIALISES EN SANTE (IFOPESS) - MFOU,3,Analyses Médicales | Infirmiers | Odontostomatologie,3,38 | 231 | 450
df139f4712092c0f,Centre,"INSTITUT DES SCIENCES DE LA SANTE ""SAINT CHRISTOPHE"" (ISSSC) D'EBOLMEDZOM -NKOABANG",5,Analyses Médicales | Infirmiers | Odontostomatologie | Prothèse Dentaire | Sages-femmes/Maïeuticiens,5,39 | 232 | 451 | 496 | 520
a99db59e36768a5f,Centre,INSTITUT DES SCIENCES ET TECHNIQUES APPLIQUEES A LA SANTE DE YAOUNDE,1,Analyses Médicales,1,42
a63370c06a103a5d,Centre,INSTITUT DES SCIENCES ET TECHNOLOGIE DE LA SANTE (ISTS),2,Analyses Médicales | Infirmiers,2,43 | 233
adb49ce27d84ab3e,Centre,INSTITUT DES SCIENCES ET TECHNOLOGIES DE LA SANTE ISTS,1,Sages-femmes/Maïeuticiens,1,530
648fad6708578f3a,Centre,INSTITUT DES SCIENCES MEDICALES DE YAOUNDE,2,Analyses Médicales | Odontostomatologie,2,44 | 454
256738513278fcfd,Centre,INSTITUT DES SCIENCES MEDICALES DE YAOUNDE (ISMY),3,Infirmiers | Optique Réfraction | Sages-femmes/Maïeuticiens,3,234 | 482 | 521
96cd07a504772c00,Centre,INSTITUT MBASSI SUPERIEUR DE MONATELE,2,Analyses Médicales | Infirmiers,2,45 | 235
f4895f935c18fad4,Centre,INSTITUT PRIVE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES D'OKOLA,4,Analyses Médicales | Infirmiers | Odontostomatologie | Prothèse Dentaire,4,46 | 236 | 455 | 499
854c2a0bba6528e9,Centre,INSTITUT PRIVE DE FORMATION DES PERSONNELS SANITAIRES SAINT JOEL D'ODZA,1,Sages-femmes/Maïeuticiens,1,532
c7dd4410b193930f,Centre,INSTITUT PRIVE DE FORMATION DES PERSONNELS SANITAIRES SAINT JOEL DE YAOUNDE,2,Analyses Médicales | Infirmiers,2,47 | 237
f9443a48b0968cce,Centre,INSTITUT PRIVE DE FORMATION DES PERSONNELS SPECIALISES EN SANTE (IFOPESS)- MFOU,1,Sages-femmes/Maïeuticiens,1,517
ad707b4b20c79447,Centre,INSTITUT PRIVE DE FORMATION MEDICO-SANITAIRE AGORA HEALTH LEKIE CENTRE D'ELIG-MFOMO,3,Analyses Médicales | Infirmiers | Odontostomatologie,3,48 | 238 | 456
fc219efa5e9d553d,Centre,INSTITUT PRIVE DES SCIENCES APPLIQUEES A LA SANTE DE BAFIA,2,Analyses Médicales | Infirmiers,2,51 | 239
5b18ab862e1717a5,Centre,INSTITUT PRIVE LAMIDO HALIM HAYATOU,1,Infirmiers,1,240
24022e90bf218218,Centre,INSTITUT SUPERIEUR DE TECHNOLOGIE APPLIQUEE DE GESTION (ISTAG) DE YAOUNDE,1,Analyses Médicales,1,52
babb2056f35d904d,Centre,INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE DE ZALOM-MFOU,2,Analyses Médicales | Infirmiers,2,53 | 241
90e706acb398f99a,Centre,INSTITUT SUPERIEUR DES SCIENCES ET DES TECHNOLOGIES ISST LA SAPIENCE,2,Analyses Médicales | Infirmiers,2,54 | 242
62db09a241797b35,Centre,INSTITUT SUPERIEUR POLYTECHNIQUE BILINGUE LES ARMANDINS,2,Analyses Médicales | Infirmiers,2,55 | 247
5d6af471a9b8841b,Centre,INSTITUT SUPERIEUR POLYTECHNIQUE BILINGUE � LES ARMANDINS � DE YAOUNDE,1,Sages-femmes/Maïeuticiens,1,533
13750b26e69aba1d,Centre,INSTITUT UNIVERSITAIRE PROTESTANT DE YAOUNDE,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,56 | 248 | 525
f7b4a237b61be85d,Centre,INSTITUT UNIVERSITAIRE SOUS-REGIONAL BILINGUE AGENLA ACADEMY,5,Infirmiers | Odontostomatologie | Optique Réfraction | Prothèse Dentaire | Sages-femmes/Maïeuticiens,5,249 | 459 | 484 | 501 | 527
50114045bc1edbd8,Est,COMPLEXE PRIVE DE FORMATION DU PERSONNEL SANITAIRE DE YOKADOUMA,1,Infirmiers,1,250
df12bef6ce6e6d87,Est,COMPLEXE SANTE FLORENCE NIGHTINGALE D'ABONG-MBANG,1,Infirmiers,1,251
