establishment_or_candidate,authority,identifier_type,identifier_value,source,already_present,proposed_action,confidence
f88d6a3b-75d5-465c-875a-0ef079066688,MINESUP,CREATION_ORDER,N°22/01569/L/MINESUP/SG/DDES/SD-ESUP/SDA/LMN du 16 Mars 2022.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
f88d6a3b-75d5-465c-875a-0ef079066688,MINESUP,OPENING_AUTHORIZATION,N°22/01569/L/MINESUP/SG/DDES/SD-ESUP/SDA/LMN du 16 Mars 2022.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0b1c429a-eb85-449b-b536-b90e3c39a9e8,MINESUP,CREATION_ORDER,N°18-09873/L/MINESUP/SG/DDES/SDA/OPC du 22 novembre 2018,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
0b1c429a-eb85-449b-b536-b90e3c39a9e8,MINESUP,OPENING_AUTHORIZATION,N°18-09873/L/MINESUP/SG/DDES/SDA/OPC du 22 novembre 2018,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ec87da41-75c0-4b84-a574-633920c2a230,MINESUP,CREATION_ORDER,N°14/0028/MINESUP/SG/DDES du 11 mars 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
ec87da41-75c0-4b84-a574-633920c2a230,MINESUP,OPENING_AUTHORIZATION,N°14/0398/MINESUP/SG/DDES/ du 04 juillet 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
b969e308-03a4-4c3b-a254-fa31170d248e,MINESUP,CREATION_ORDER,N°16-06587/MINESUP/SG/DDES/ESUP/SDA/OAGS du 28 juin 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
b969e308-03a4-4c3b-a254-fa31170d248e,MINESUP,OPENING_AUTHORIZATION,N°16-06587/MINESUP/SG/DDES/ESUP/SDA/OAGS du 28 juin 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
18f67de1-3a0a-4d34-9067-f74951560590,MINESUP,CREATION_ORDER,N°16-05803/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 26 mai 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
18f67de1-3a0a-4d34-9067-f74951560590,MINESUP,OPENING_AUTHORIZATION,N°16-05803/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 26 mai 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e0f3e023-7eea-4094-ad85-62472d7f06fb,MINESUP,CREATION_ORDER,N°08/0268/MINESUP  du 03 octobre 2008,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
