staging_id,name_raw,city,region,r3_classification,match_type,cartescolaire_matricule,cartescolaire_name,cartescolaire_scheme
661f12ac-1b75-4386-bd77-e6b84addea61,COMPLEXE SCOLAIRE BILINGUE METENOU,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060151,COMPLEXE SCOLAIRE BILINGUE METENOU,DIGIT_PREFIX
f505132b-8cf1-4daa-8471-b690298cb789,COMPLEXE SCOLAIRE ILE EDUCATIVE,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060129,COLLEGE ILE EDUCATIVE,DIGIT_PREFIX
c4ec5341-c19b-4ff3-803f-7cd6dab42a87,"COMPLEXE SCOLAIRE INTERNATIONALE ""LA GAIETE",Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060149,COMPLEXE INTERNATIONAL LA GAIETE,DIGIT_PREFIX
7634bcfe-1190-4717-9176-58a791ca0a7f,COMPLEXE SCOLAIRE ORNEL BILINGUAL ACADEMY,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060179,MACMILLAN BILINGUAL ACADEMY,DIGIT_PREFIX
cd401950-dd5e-4489-bdfb-84306b028f7d,CTI-NYOM,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,11060132,COLLEGE OLIVERAIE DE NYOM,DIGIT_PREFIX
f9060410-d218-49cd-91b1-86afc59e802a,FONDATION TSOUNGUI,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060162,FONDATION TSOUNGUI,DIGIT_PREFIX
6a949ee2-dac9-47cf-b9c0-fd4713976f9d,INSTITUT BILINGUE D'ETOUDI,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060115,CHRISTIAN COMPREHENSIVE SECONDARY SCHOOL-ETOUDI,DIGIT_PREFIX
632fab45-b9b6-4e26-8428-5250c2653dcb,INSTITUT BILINGUE TOUMWA (IBT),Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060170,INSTITUT BILINGUE TOUMWA,DIGIT_PREFIX
ad534f58-52f6-4f02-bcf1-b8aaa59cf372,INSTITUT BLAISE PASCAL,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060171,INSTITUT BLAISE PASCAL,DIGIT_PREFIX
fd6168df-d484-44d5-8d41-e35340beffe9,INSTITUT MATAMFEN,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060172,INSTITUT MATAMFEN,DIGIT_PREFIX
471946a4-3053-43e7-ae85-0b8078e41e2d,INSTITUT MODERNE MBASSI,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,11060173,INSTITUT MODERNE MBASSI,DIGIT_PREFIX
fd93be9c-aee6-449c-9338-d8cc0dae53c6,INSTITUT POLYVALENT JUNIOR,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060174,INSTITUT POLYVALENT JUNIOR DE YAOUNDE,DIGIT_PREFIX
2afd2b41-596d-44b5-ad3c-53264e43cdac,INSTITUT PRIVE LAÏC DE DEVELOPPEMENT INDUSTRIEL ET COMMERCIAL (ISDIC),Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,CE21325L89,LYCEE TECHNIQUE INDUSTRIEL ET COMMERCIAL DE SA&#039;A,ALPHA_PREFIX
3b5d047f-7cd7-4104-8218-b4c9b88694c4,COLLEGE DE L'UNITE,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060125,COLLEGE D&#039;ENSEIGNEMENT TECHNIQUE ET GENERAL DE L&#039;UNITE,DIGIT_PREFIX
38f52a0b-44cb-4fd3-8d81-355a0ab9c024,COLLEGE TECHNIQUE INDUSTRIEL,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,CE21325L89,LYCEE TECHNIQUE INDUSTRIEL ET COMMERCIAL DE SA&#039;A,ALPHA_PREFIX
12048d04-0ac5-43d8-92ee-9b4606422255,CETI BENIGNA,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060118,COLLEGE BENIGNA D&#039;ETOUDI,DIGIT_PREFIX
f07b4e2a-f266-4564-973b-c2f7e740221b,COLLEGE PRIVE LAIC FAPO,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,11060136,COLLEGE PRIVE LAIC FAPO,DIGIT_PREFIX
ac5cb5af-55aa-4f16-bbe4-062501eda37d,COLLEGE PRIVE LAIC INSTITUT JEAN BODY ZIBI,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060195,INSTITUT JEAN BODY ZIBI,DIGIT_PREFIX
8c616a3e-f716-49fd-a19b-3531d93c4b0f,BODIO BILINGUAL COMPLEX,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060318,BODIO BILINGUAL COMPLEX,DIGIT_PREFIX
d5a7bcd2-cec7-4dab-b571-9ebd2bdd9bf4,CAMEROON SCHOOL OF EXCELLENCE,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060319,CAMEROON SCHOOL OF EXCELLENCE,DIGIT_PREFIX
bb185b53-452b-49d8-b923-7f306e4de49e,COLLEGE BILINGUE GOLDEN INSTITUTE,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060354,ENIEG GOLDEN,DIGIT_PREFIX
fd8cfb17-b56d-448d-a8bd-a3fde9475a9b,COLLEGE FADIMATOU HADJA,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,11060326,COLLEGE FADIMATOU HADJA,DIGIT_PREFIX
6173603e-1639-4ce4-b143-f9adee4519af,COLLEGE FOCHE,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060327,COLLEGE FOCHE,DIGIT_PREFIX
1c5f0895-33a5-491d-9f0a-64c1c40a244d,COLLEGE LA DIGNITE,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060325,COLLEGE DE LA DIGNITE,DIGIT_PREFIX
6cb2ead2-e4aa-4fdf-9a41-8ce67f2a6434,COLLEGE MATHIEU ET CLAIRE,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060329,COLLEGE MATHIEU ET CLAIRE,DIGIT_PREFIX
c4851730-c721-47cb-a1ac-2377c4628af5,COLLEGE POLYVALENT SAINT AUGUSTIN,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060334,COLLEGE POLYVALENT SAINT AUGUSTIN,DIGIT_PREFIX
8e335efa-807c-497d-b89d-347a07cc6ee9,COLLEGE PRIVE DU SUCCES,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060307,INSTITUT POLYVALENT DU SUCCES,DIGIT_PREFIX
80dd9363-42cf-4ffa-9bc0-d7a492daf676,COLLEGE PRIVE LAIC DE L'ESPERANCE,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11090026,COURS DU SOIR DE L&#039;ESPERANCE PIERRE OVONO,DIGIT_PREFIX
9e30b614-8b57-4156-890d-294479712f13,COLLEGE PRIVE LAÏC DJA'ANKEU,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060331,COLLEGE PLB DJA&#039;ANKEU,DIGIT_PREFIX
bd941dbe-3efe-4720-889d-a001f83c3544,COLLEGE PRIVE LAIC LAROUSSE,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060322,COLL PRIVE LAIC LAROUSSE,DIGIT_PREFIX
7e4ba5ec-7b29-494b-95e1-0969917f8eb4,"COLLEGE PRIVE LAÏC LE ""FANION""",Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060341,COLLEGE PRIVE LAIC LE FANION,DIGIT_PREFIX
2e9b534c-4348-4bb5-92aa-8b4e0173bc5d,COLLEGE PRIVE LAIC LES CHANTERELLES,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060324,COLLEGE BILINGUE LAIC LES CHANTERELLES,DIGIT_PREFIX
8a97521e-04eb-46b8-83b4-70f241cbca1e,COLLEGE PRIVE LAIC LES LILAS,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060321,COLEGE PRIVE LAIC LES LILAS,DIGIT_PREFIX
