city,official_name,category_hint,source_name,source_url,source_type,match_type,matched_against
Yaoundé,Complexe Scolaire International La Gaieté,college,Recherche web générale,,tier3,REVIEW_REQUIRED,Collège Bilingue International
Yaoundé,Government Bilingual Prac. High School,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Government Bilingual High School,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Mevick Bilingual Grammar School,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Shakespeare Bilingual Sec. School,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,English High School Yaoundé,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Oxford Comprehensive High School,college,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Ayungha Bilingual College,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Amasia Bilingual Secondary School,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Yaoundé,Mario Academic Complex,college,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
